image_id,split,width,height
2008_000008,train,500.0,442.0
2008_000015,train,500.0,327.0
2008_000019,train,480.0,272.0
2008_000023,train,333.0,500.0
2008_000028,train,500.0,375.0
2008_000033,train,500.0,333.0
2008_000036,train,500.0,375.0
2008_000037,train,500.0,444.0
2008_000041,train,500.0,375.0
2008_000045,train,500.0,375.0
2008_000053,train,500.0,375.0
2008_000060,train,448.0,336.0
2008_000066,train,483.0,500.0
2008_000070,train,500.0,375.0
2008_000074,train,500.0,375.0
2008_000085,train,500.0,375.0
2008_000089,train,376.0,500.0
2008_000093,train,500.0,375.0
2008_000095,train,375.0,500.0
2008_000096,train,500.0,375.0
2008_000097,train,333.0,500.0
2008_000099,train,500.0,357.0
2008_000103,train,500.0,375.0
2008_000105,train,500.0,375.0
2008_000109,train,500.0,375.0
2008_000112,train,500.0,375.0
2008_000128,train,500.0,375.0
2008_000131,train,500.0,308.0
2008_000132,train,500.0,375.0
2008_000141,train,500.0,333.0
2008_000142,train,500.0,333.0
2008_000143,train,500.0,332.0
2008_000144,train,500.0,332.0
2008_000148,train,500.0,375.0
2008_000151,train,500.0,375.0
2008_000154,train,500.0,331.0
2008_000162,train,494.0,500.0
2008_000176,train,500.0,375.0
2008_000181,train,486.0,348.0
2008_000185,train,500.0,333.0
2008_000187,train,500.0,333.0
2008_000188,train,500.0,375.0
2008_000189,train,500.0,333.0
2008_000191,train,500.0,375.0
2008_000192,train,500.0,346.0
2008_000193,train,500.0,333.0
2008_000196,train,500.0,375.0
2008_000197,train,500.0,333.0
2008_000199,train,500.0,375.0
2008_000202,train,500.0,333.0
2008_000207,train,334.0,500.0
2008_000217,train,500.0,375.0
2008_000226,train,500.0,375.0
2008_000227,train,500.0,375.0
2008_000235,train,500.0,375.0
2008_000236,train,500.0,375.0
2008_000237,train,500.0,375.0
2008_000238,train,500.0,375.0
2008_000252,train,500.0,375.0
2008_000255,train,500.0,338.0
2008_000259,train,500.0,375.0
2008_000260,train,500.0,331.0
2008_000262,train,500.0,375.0
2008_000266,train,500.0,333.0
2008_000273,train,500.0,375.0
2008_000275,train,500.0,375.0
2008_000283,train,500.0,333.0
2008_000284,train,500.0,375.0
2008_000287,train,500.0,340.0
2008_000289,train,375.0,500.0
2008_000290,train,500.0,371.0
2008_000291,train,500.0,333.0
2008_000297,train,500.0,335.0
2008_000309,train,500.0,373.0
2008_000311,train,500.0,333.0
2008_000313,train,500.0,375.0
2008_000315,train,500.0,375.0
2008_000316,train,500.0,375.0
2008_000318,train,403.0,500.0
2008_000330,train,500.0,375.0
2008_000335,train,500.0,292.0
