image_id,split,cls,xmin,ymin,xmax,ymax,difficult,truncated,occluded,width,height,box_w,box_h,box_area,aspect_ratio,norm_area
2008_000008,train,horse,53,87,471,420,0,0,1,500,442,419,334,139946,1.2544910179640718,0.6332398190045249
2008_000008,train,person,158,44,289,167,0,1,0,500,442,132,124,16368,1.064516129032258,0.07406334841628959
2008_000015,train,bottle,270,1,378,176,0,1,1,500,327,109,176,19184,0.6193181818181818,0.11733333333333333
2008_000015,train,bottle,57,1,164,150,0,1,1,500,327,108,150,16200,0.72,0.09908256880733946
2008_000019,train,dog,139,2,372,197,0,0,0,480,272,234,196,45864,1.1938775510204083,0.3512867647058823
2008_000019,train,dog,165,66,318,236,0,0,0,480,272,154,171,26334,0.9005847953216374,0.20170036764705881
2008_000019,train,dog,361,1,480,112,0,1,0,480,272,120,112,13440,1.0714285714285714,0.10294117647058823
2008_000023,train,tvmonitor,6,1,314,262,0,1,1,333,500,309,262,80958,1.1793893129770991,0.48623423423423423
2008_000023,train,bottle,40,97,121,411,0,1,1,333,500,82,315,25830,0.26031746031746034,0.15513513513513513
2008_000023,train,person,137,36,169,109,0,1,0,333,500,33,74,2442,0.44594594594594594,0.014666666666666666
2008_000023,train,person,180,36,216,104,0,1,0,333,500,37,69,2553,0.5362318840579711,0.015333333333333332
2008_000023,train,person,96,39,123,103,0,1,0,333,500,28,65,1820,0.4307692307692308,0.010930930930930931
2008_000028,train,car,158,199,231,240,0,0,0,500,375,74,42,3108,1.7619047619047619,0.016576
2008_000028,train,car,47,202,94,238,0,0,0,500,375,48,37,1776,1.2972972972972974,0.009472
2008_000033,train,aeroplane,104,61,476,257,0,0,0,500,333,373,197,73481,1.8934010152284264,0.4413273273273273
2008_000036,train,bicycle,120,1,203,35,0,1,0,500,375,84,35,2940,2.4,0.01568
2008_000036,train,bicycle,117,38,273,121,0,1,1,500,375,157,84,13188,1.869047619047619,0.070336
2008_000036,train,person,206,74,395,237,0,0,0,500,375,190,164,31160,1.1585365853658536,0.16618666666666668
2008_000036,train,boat,24,2,500,188,0,1,1,500,375,477,187,89199,2.550802139037433,0.475728
2008_000036,train,boat,1,187,500,282,0,1,1,500,375,500,96,48000,5.208333333333333,0.256
2008_000037,train,aeroplane,47,157,450,282,0,0,0,500,444,404,126,50904,3.2063492063492065,0.2292972972972973
2008_000041,train,person,271,170,386,234,0,1,1,500,375,116,65,7540,1.7846153846153847,0.04021333333333333
2008_000041,train,person,295,189,328,231,0,1,1,500,375,34,43,1462,0.7906976744186046,0.007797333333333333
2008_000041,train,person,206,176,256,236,0,1,0,500,375,51,61,3111,0.8360655737704918,0.016592
2008_000041,train,person,122,162,198,330,0,0,1,500,375,77,169,13013,0.4556213017751479,0.06940266666666667
2008_000041,train,person,457,212,500,297,0,1,0,500,375,44,86,3784,0.5116279069767442,0.020181333333333332
2008_000041,train,person,438,173,500,243,0,1,1,500,375,63,71,4473,0.8873239436619719,0.023856
2008_000041,train,chair,351,272,452,375,0,1,1,500,375,102,104,10608,0.9807692307692307,0.056576
2008_000041,train,chair,265,250,353,364,0,0,0,500,375,89,115,10235,0.7739130434782608,0.054586666666666665
2008_000041,train,chair,189,260,286,375,0,0,0,500,375,98,116,11368,0.8448275862068966,0.060629333333333334
2008_000041,train,diningtable,149,224,402,331,0,0,1,500,375,254,108,27432,2.3518518518518516,0.146304
2008_000041,train,pottedplant,54,189,84,214,1,0,0,500,375,31,26,806,1.1923076923076923,0.004298666666666667
2008_000041,train,person,358,188,469,359,0,1,0,500,375,112,172,19264,0.6511627906976745,0.10274133333333334
2008_000045,train,train,45,42,455,342,0,0,0,500,375,411,301,123711,1.3654485049833887,0.659792
2008_000053,train,dog,54,2,500,375,0,1,0,500,375,447,374,167178,1.195187165775401,0.891616
2008_000060,train,cat,1,32,343,336,0,1,0,448,336,343,305,104615,1.1245901639344262,0.6949869791666666
2008_000066,train,dog,1,9,439,500,0,1,0,483,500,439,492,215988,0.8922764227642277,0.894360248447205
2008_000070,train,tvmonitor,180,260,213,293,0,0,0,500,375,34,34,1156,1.0,0.006165333333333333
2008_000070,train,chair,367,244,447,353,0,1,0,500,375,81,110,8910,0.7363636363636363,0.04752
2008_000070,train,chair,255,247,371,375,0,0,0,500,375,117,129,15093,0.9069767441860465,0.080496
2008_000074,train,car,46,178,387,335,0,0,0,500,375,342,158,54036,2.1645569620253164,0.288192
2008_000085,train,car,1,1,395,375,0,1,0,500,375,395,375,148125,1.0533333333333332,0.79
2008_000089,train,chair,71,18,307,494,0,0,0,376,500,237,477,113049,0.4968553459119497,0.6013244680851064
2008_000093,train,tvmonitor,392,3,479,95,0,0,0,500,375,88,93,8184,0.946236559139785,0.043648
2008_000093,train,chair,307,178,412,280,0,0,1,500,375,106,103,10918,1.029126213592233,0.058229333333333334
2008_000093,train,chair,328,194,473,328,0,0,1,500,375,146,135,19710,1.0814814814814815,0.10512
2008_000093,train,sofa,143,163,320,247,0,0,1,500,375,178,85,15130,2.0941176470588236,0.08069333333333334
2008_000093,train,sofa,1,173,145,317,0,1,0,500,375,145,145,21025,1.0,0.11213333333333333
2008_000095,train,bird,251,161,287,270,0,0,0,375,500,37,110,4070,0.33636363636363636,0.021706666666666666
2008_000096,train,person,1,1,500,375,0,1,1,500,375,500,375,187500,1.3333333333333333,1.0
2008_000096,train,cat,96,124,416,375,0,1,1,500,375,321,252,80892,1.2738095238095237,0.431424
2008_000097,train,bird,101,203,181,274,0,0,0,333,500,81,72,5832,1.125,0.03502702702702703
2008_000099,train,dog,122,11,336,223,0,0,0,500,357,215,213,45795,1.0093896713615023,0.2565546218487395
2008_000099,train,sheep,98,176,425,357,0,1,0,500,357,328,182,59696,1.8021978021978022,0.3344313725490196
2008_000103,train,bird,156,48,287,338,0,0,0,500,375,132,291,38412,0.4536082474226804,0.204864
2008_000105,train,car,215,182,377,240,0,0,0,500,375,163,59,9617,2.76271186440678,0.051290666666666665
2008_000109,train,motorbike,293,70,420,197,0,1,0,500,375,128,128,16384,1.0,0.08738133333333334
2008_000109,train,car,41,95,444,375,0,1,1,500,375,404,281,113524,1.4377224199288257,0.6054613333333333
2008_000109,train,person,228,90,338,365,0,0,0,500,375,111,276,30636,0.40217391304347827,0.163392
2008_000112,train,cat,83,74,386,320,0,0,0,500,375,304,247,75088,1.2307692307692308,0.40046933333333334
2008_000112,train,bottle,324,1,394,116,0,1,1,500,375,71,116,8236,0.6120689655172413,0.04392533333333333
2008_000128,train,sofa,11,29,500,375,0,0,1,500,375,490,347,170030,1.4121037463976944,0.9068266666666667
2008_000128,train,person,1,85,361,375,0,1,1,500,375,361,291,105051,1.2405498281786942,0.560272
2008_000128,train,person,92,173,212,357,0,0,1,500,375,121,185,22385,0.654054054054054,0.11938666666666667
2008_000131,train,bird,185,119,332,180,0,0,0,500,308,148,62,9176,2.3870967741935485,0.05958441558441559
2008_000132,train,person,431,106,474,253,0,1,1,500,375,44,148,6512,0.2972972972972973,0.03473066666666667
2008_000132,train,person,39,111,81,262,0,1,1,500,375,43,152,6536,0.28289473684210525,0.03485866666666667
2008_000132,train,bus,1,255,500,375,0,1,0,500,375,500,121,60500,4.132231404958677,0.32266666666666666
2008_000141,train,horse,94,9,500,333,0,1,0,500,333,407,325,132275,1.2523076923076923,0.7944444444444444
2008_000141,train,person,42,167,75,223,0,0,0,500,333,34,57,1938,0.5964912280701754,0.01163963963963964
2008_000142,train,horse,109,75,494,333,0,0,0,500,333,386,259,99974,1.4903474903474903,0.6004444444444444
2008_000142,train,person,93,159,105,188,0,0,0,500,333,13,30,390,0.43333333333333335,0.0023423423423423423
2008_000142,train,person,36,100,129,333,0,0,0,500,333,94,234,21996,0.4017094017094017,0.1321081081081081
2008_000143,train,car,370,105,417,122,0,1,0,500,332,48,18,864,2.6666666666666665,0.005204819277108434
2008_000143,train,car,392,111,500,177,0,1,0,500,332,109,67,7303,1.626865671641791,0.04399397590361446
2008_000143,train,car,1,252,500,332,1,1,0,500,332,500,81,40500,6.172839506172839,0.24397590361445784
2008_000143,train,motorbike,129,80,236,249,0,1,1,500,332,108,170,18360,0.6352941176470588,0.11060240963855422
2008_000143,train,person,102,25,212,214,0,0,0,500,332,111,190,21090,0.5842105263157895,0.12704819277108434
2008_000144,train,motorbike,147,113,359,287,0,0,0,500,332,213,175,37275,1.217142857142857,0.22454819277108434
2008_000144,train,person,185,56,287,241,0,0,0,500,332,103,186,19158,0.553763440860215,0.11540963855421686
2008_000148,train,boat,1,154,57,230,0,1,0,500,375,57,77,4389,0.7402597402597403,0.023408
2008_000151,train,aeroplane,244,225,275,261,0,0,0,500,375,32,37,1184,0.8648648648648649,0.006314666666666666
2008_000154,train,bottle,39,194,111,295,0,0,0,500,331,73,102,7446,0.7156862745098039,0.04499093655589124
2008_000162,train,dog,47,20,494,500,0,1,0,494,500,448,481,215488,0.9313929313929314,0.872421052631579
2008_000176,train,car,5,110,500,346,0,1,1,500,375,496,237,117552,2.0928270042194095,0.626944
2008_000176,train,person,200,127,302,349,0,0,0,500,375,103,223,22969,0.4618834080717489,0.12250133333333334
2008_000181,train,cat,46,76,423,321,0,0,0,486,348,378,246,92988,1.5365853658536586,0.5498084291187739
2008_000185,train,person,256,65,302,105,1,1,0,500,333,47,41,1927,1.146341463414634,0.011573573573573574
2008_000185,train,car,159,43,465,272,0,0,0,500,333,307,230,70610,1.3347826086956522,0.4240840840840841
2008_000187,train,car,160,119,443,203,0,0,0,500,333,284,85,24140,3.3411764705882354,0.144984984984985
2008_000188,train,pottedplant,45,59,395,375,0,0,0,500,375,351,317,111267,1.1072555205047319,0.593424
2008_000189,train,person,254,82,306,117,1,1,0,500,333,53,36,1908,1.4722222222222223,0.01145945945945946
2008_000189,train,car,53,55,389,295,0,0,0,500,333,337,241,81217,1.3983402489626555,0.48778978978978976
2008_000191,train,boat,200,152,333,183,1,1,0,500,375,134,32,4288,4.1875,0.022869333333333332
2008_000191,train,person,68,185,94,215,0,1,0,500,375,27,31,837,0.8709677419354839,0.004464
2008_000191,train,person,23,180,55,250,0,0,0,500,375,33,71,2343,0.4647887323943662,0.012496
2008_000191,train,bicycle,57,194,151,255,0,0,0,500,375,95,62,5890,1.532258064516129,0.031413333333333335
2008_000192,train,bird,249,57,441,246,0,0,0,500,346,193,190,36670,1.0157894736842106,0.21196531791907514
2008_000193,train,car,103,127,323,204,0,0,0,500,333,221,78,17238,2.8333333333333335,0.10353153153153154
2008_000193,train,person,230,130,254,157,1,1,0,500,333,25,28,700,0.8928571428571429,0.004204204204204204
2008_000196,train,bicycle,348,7,500,309,0,1,1,500,375,153,303,46359,0.504950495049505,0.247248
2008_000196,train,pottedplant,340,105,500,306,0,1,0,500,375,161,202,32522,0.7970297029702971,0.17345066666666667
2008_000196,train,bottle,432,1,465,58,1,1,1,500,375,34,58,1972,0.5862068965517241,0.010517333333333333
2008_000196,train,bottle,481,12,500,42,1,1,0,500,375,20,31,620,0.6451612903225806,0.0033066666666666665
2008_000196,train,bicycle,1,1,206,310,0,1,0,500,375,206,310,63860,0.6645161290322581,0.34058666666666665
2008_000196,train,cat,193,155,278,304,0,0,0,500,375,86,150,12900,0.5733333333333334,0.0688
2008_000197,train,aeroplane,95,134,230,203,0,0,0,500,333,136,70,9520,1.9428571428571428,0.05717717717717718
2008_000199,train,person,412,59,500,354,0,0,0,500,375,89,296,26344,0.30067567567567566,0.14050133333333334
2008_000199,train,car,229,85,386,188,0,1,1,500,375,158,104,16432,1.5192307692307692,0.08763733333333333
2008_000202,train,person,60,58,125,140,0,1,0,500,333,66,83,5478,0.7951807228915663,0.0329009009009009
